All Incident Codes,Age Category
010000000100,2
010001,2
100100,0
000000,2
010000000000,2
010100,2
000100000000000100000100,2
010000,2
010010010010010010000001,2
000100,2
000000,2
010000,2
010100,2
000000,2
000000,2
001000010100000010,2
010000000000,2
000100,2
000000010000,2
000000010100010100000101,2
000100,2
010100000100,2
100100,0
000100,2
000000010101,2
010100,2
110000,0
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
010000,2
110100,0
010000,2
010100,2
010100,2
010100,2
010100,2
010000,2
000100,2
110000,0
010100010000,2
010100,2
110100,0
000000000000,2
000000,2
000000,2
000000,2
010000,2
000000,2
010000,2
010100000001,2
110100,0
000000,2
110100,0
010100010000,2
010000,2
000100,2
000100000000010001,2
010000,2
000100,2
000000,2
000000,2
010100,2
010000,2
110100,0
010000010001,2
000100,2
010000,2
000000,2
000000,2
000100010100,2
010000010001,2
010100010100,2
110100,0
010100,2
000000,2
001100,2
010000010011,2
010000,2
010000,2
110100110100110100,0
000000,2
000100,2
010000010000,2
000000,2
010100,2
010000,2
101000,0
000000,2
010000000100,2
010000010001,2
110100100100000000,1
010100,2
010000010000010101,2
010000,2
010000,2
010100000000000000000101000001,2
010000,2
010000,2
000000,2
010000,2
000100,2
110100,0
010000,2
000100,2
000100,2
100000,0
010000010100,2
010000,2
000000000000,2
000000,2
010000,2
000100,2
010000,2
100100,0
010000010100,2
000100010100,2
100000,0
110000110001,0
110000110000,0
100100,0
100000,0
000100000001,2
010010,2
010000,2
110000,0
110000,0
110000,0
000000,2
000100,2
110000100101,0
010000010000000000,2
010100000011,2
010000,2
010000,2
010000,2
000100,2
010000,2
010100,2
010000,2
000100000001,2
010000,2
010000010000010000,2
000000,2
110000,0
010000,2
010000,2
000000,2
010000,2
010000010100010001000101,2
001000,2
010000,2
110000,0
010000,2
101000110000,0
000000,2
101000110100,0
010000,2
110100,0
010000,2
000100,2
010100,2
010000,2
010000,2
010000,2
010100,2
010000,2
000000010100,2
110000,0
000000,2
010100,2
001000010100,2
010000,2
000000,2
011100,2
000000,2
010000010000,2
010100010100000000000001,2
011000001000,2
000100,2
010100010101,2
000100,2
000010,2
000000,2
010000,2
000100,2
000000010000,2
010100,2
010000010000,2
010000,2
010100,2
110100,0
000000000001,2
000100,2
010000,2
000000010101,2
110000,0
010100010100010100,2
010000,2
010000010001,2
010000,2
010000010011,2
010100010100010100010100010100010100010100010101,2
000000010100,2
010000,2
000000,2
010000000101,2
100100,0
100000,0
010000,2
110100,0
010000010000,2
000000010100000000000000000000010101,2
010000,2
010000010000,2
010000,2
010000000001,2
000100,2
010100,2
010000,2
010000,2
010000010000,2
110100,0
010000010000010001,2
010100,2
010000011100,2
100100,0
000010000010,2
010000010001,2
001100,2
000000,2
010000,2
010000,2
110000110100,0
010000,2
010000010000010001010001,2
010010,2
110000,0
100000,0
010000,2
000100,2
000000000000,2
000000,2
010100010000010101000001,2
000100,2
010000,2
000100,2
000000,2
000000,2
010100,2
000000000001,2
010000010100,2
000100000100000101,2
010100,2
010100,2
110100,0
000100,2
000100000000000000,2
000010,2
010000010000,2
010100,2
010100010100,2
000000,2
010010,2
110100,0
000100000000000000,2
000000,2
000000,2
000100,2
000000000000,2
010000,2
100000,0
000100,2
000000,2
010000,2
010000010000010000010100010000010001010001,2
010000010000000000010000,2
010000010000010000000100010100010000010100,2
010100,2
010000,2
000000,2
010100,2
000000,2
010100010011010011010011,2
010010000100000000000000,2
010000,2
000100,2
010100,2
010100010000,2
110100,0
010000,2
010000010000,2
000000,2
110000,0
000000,2
010000,2
000000,2
010000000010,2
010100,2
010000000100,2
010000,2
100000,0
000000000000000000,2
000000010100001100,2
010000,2
010000010001,2
010000,2
000000,2
110000,0
010100,2
000000,2
100100,0
000000,2
000100,2
000100010101,2
010100000000,2
010100,2
010100,2
010000,2
010100,2
110100010000,1
010000000100,2
010000,2
010000,2
000100010101,2
000100,2
000000000100,2
000000,2
010100,2
010100010101,2
010100,2
010000,2
110000,0
000000,2
000000,2
010100010100,2
010100010000,2
010100000000,2
000100,2
000100,2
000000,2
010000,2
010000,2
110100,0
010000,2
110100,0
010000,2
010100,2
000000000000,2
010000010100010100010101010001,2
010000010100,2
010000,2
010000000000,2
010000010101,2
010100010000010000,2
010000,2
010000,2
010000,2
010000,2
010000010000,2
010100,2
010100,2
010010,2
010000,2
010010,2
110000,0
010000,2
000000,2
000100010100,2
000010,2
110000,0
000100010000010000000001,2
110100110101,0
010000010101,2
010000,2
010100,2
010100010000,2
000000,2
010100,2
000000,2
000000,2
010000010000,2
110000,0
010000,2
010000010000,2
010100,2
000100010100000011,2
000000,2
010000010000,2
000100,2
000100,2
000000000000010001010001010001010101010001,2
000100010100010100,2
010000,2
000000,2
010100,2
010100,2
000000,2
000000,2
000000,2
000000,2
000000,2
000100,2
110010000001,1
110100,0
110100,0
110100,0
000000,2
000100,2
000000010100,2
000100010100,2
000000,2
000000,2
110000110000,0
000100000000000001,2
010010,2
000000,2
000000,2
000000000000,2
000000,2
000100,2
010000010001,2
000000,2
000000,2
000000,2
100100100000,0
000100,2
000100,2
000000,2
110000,0
010100,2
000000,2
010010,2
010000010100,2
010100000101,2
010100,2
010000,2
010100010100,2
000000,2
000100011000000000011100011100011100010001,2
010000,2
000100010000010100,2
000000010000,2
010000,2
110000,0
010000,2
010000,2
010000,2
110000110000110101,0
010000,2
010000,2
100000,0
010100010000010100010000010000010000,2
010100,2
010000000001010001,2
010100,2
010100,2
010010,2
000000,2
010000,2
010100000100,2
100000110101,0
000000,2
010100010100010100010000010000000101,2
000000000101,2
000000000100000101,2
000000,2
000000,2
000000,2
