,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Analysis notes
309,"WIRETAP, UNLAWFUL, ATTEMPT c272 §99(C)(1)",1,1,"WIRETAP, UNLAWFUL, ATTEMPT",272,99(C)(1),yes,292,not in the list of non-expungable offenses.,,
310,"WIRETAP, POSSESS DEVICE FOR c272 §99(C)(5)",3,3,"WIRETAP, POSSESS DEVICE FOR",272,99(C)(5),yes,292,not in the list of non-expungable offenses.,,
311,"WIRETAP, DISCLOSE CONTENTS OF c272 §99(C)(3) or (4)",2,0,"WIRETAP, DISCLOSE CONTENTS OF",272,99(C)(3) or (4),yes,292,not in the list of non-expungable offenses.,,
312,ATTEMPT TO COMMIT CRIME c. 274 s. 6 - Larceny,0,5,ATTEMPT TO COMMIT CRIME,274,6 - Larceny,yes,312,1554 in master list,,
313,CONSPIRACY c274 §7,331,222,CONSPIRACY,274,7,yes,313,1558-1561 in master list,,
314,ATTEMPT TO COMMIT CRIME c. 274 s. 6 - 5 year felony or greater,0,3,ATTEMPT TO COMMIT CRIME,274,6 - 5 year felony or greater,m,314,"Depends on what the attempted crime was, and if the attempted crime is expungable or not. Insufficient information.",,analyze with and without
315,AFFRAY c. 275 s. 14,0,99,AFFRAY,275,14,yes,315,not in the list of non-expungable offenses.,,
316,FUGITIVE FROM JUSTICE ON COURT WARRANT c276 §20A,198,735,FUGITIVE FROM JUSTICE ON COURT WARRANT,276,20A,yes,316,not in the list of non-expungable offenses.,,
317,FUGITIVE FROM JUSTICE WITHOUT WARRANT c276 §20B,4,204,FUGITIVE FROM JUSTICE WITHOUT WARRANT,276,20B,yes,317,not in the list of non-expungable offenses.,,
318,Solicitation to Commit a Felony C279S5,2,0,SOLICITATION TO COMMIT A FELONY C279S5,279,5,yes,318,not in the list of non-expungable offenses.,,
319,HABITUAL OFFENDER c279 §25,0,4,HABITUAL OFFENDER,279,25,yes,319,not in the list of non-expungable offenses.,,
320,FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00,5,0,FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00,321,3,na,320,CMR code violation,CMR code violation,
321,MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00,0,2,MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00,322,6,na,321,CMR code violation,CMR code violation,
322,MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07,0,5,MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07,322,6.07,na,322,CMR code violation,CMR code violation,
323,MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00,0,1,MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00,322,8,na,323,CMR code violation,CMR code violation,
324,MBOAT EQUIPMENT VIOLATION 323 CMR §2.06,0,1,MBOAT EQUIPMENT VIOLATION 323 CMR §2.06,323,2.06,na,324,CMR code violation,CMR code violation,
325,MBOAT OPERATION VIOLATION 323 CMR §2.07,6,5,MBOAT OPERATION VIOLATION 323 CMR §2.07,323,2.07,na,325,CMR code violation,CMR code violation,
326,SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03,1,4,SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03,323,3.03,na,326,CMR code violation,CMR code violation,
327,SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05,0,1,SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05,323,3.05,na,327,CMR code violation,CMR code violation,
328,SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07,0,2,SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07,323,3.07,na,328,CMR code violation,CMR code violation,
329,JET SKI VIOLATION 323 CMR §4.03,2,0,JET SKI VIOLATION 323 CMR §4.03,323,4.03,na,329,CMR code violation,CMR code violation,
330,PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03,1,0,PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03,324,2.03,na,330,CMR code violation,CMR code violation,
331,MDC WAYHITCHHIKE 350 CMR §4.01,1,0,MDC WAYHITCHHIKE 350 CMR §4.01,350,4.01,na,331,CMR code violation,CMR code violation,
332,MDC WAY¿$100 VIOLATION * 350 CMR §4.01,0,44,MDC WAY¿$100 VIOLATION * 350 CMR §4.01,350,4.01,na,332,CMR code violation,CMR code violation,
333,MDC WAY¿$200 VIOLATION * 350 CMR §4.01,0,18,MDC WAY¿$200 VIOLATION * 350 CMR §4.01,350,4.01,na,333,CMR code violation,CMR code violation,
334,MDC WAY¿$50 VIOLATION * 350 CMR §4.01,0,3,MDC WAY¿$50 VIOLATION * 350 CMR §4.01,350,4.01,na,334,CMR code violation,CMR code violation,
335,MDC WAY¿$25 VIOLATION * 350 CMR §4.01,0,1,MDC WAY¿$25 VIOLATION * 350 CMR §4.01,350,4.01,na,335,CMR code violation,CMR code violation,
336,MDC WAY¿SPEEDING * 350 CMR §4.01,0,1,MDC WAY¿SPEEDING * 350 CMR §4.01,350,4.01,na,336,CMR code violation,CMR code violation,
337,MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09,61,0,MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09,350,11.09,na,337,CMR code violation,CMR code violation,
